Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths_total,Deaths_per_100000,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2764353,26767,810,8,810,27928,270,45,,45
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272173,621,1,,1,6881,16,0,,0
Italy,Europe,26826486,44980,0,,0,197542,331,0,,0
Nigeria,Africa,267189,130,,,,3155,2,,,
Zimbabwe,Africa,266396,1792,,,,5740,39,,,
New Zealand,Western Pacific,2650294,54960,,,,4435,92,,,
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Serbia,Europe,2583470,37297,,,,18057,261,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25234,457,0,,0,389,7,0,,0
Montenegro,Europe,251280,40009,0,,0,2654,423,0,,0
United Kingdom of Great Britain and Northern Ireland,Europe,25006869,36837,3475,5,3475,232112,342,0,,0
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Russian Federation,Europe,24547989,16821,24777,17,24777,403508,276,45,,45
Afghanistan,Eastern Mediterranean,235214,604,,,,7998,21,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Mozambique,Africa,233845,748,0,,0,2252,7,0,,0
Martinique,,230354,61384,,,,1104,294,,,
Hungary,Europe,2235887,22886,526,5,526,49084,502,0,,0
Burkina Faso,Africa,22146,106,0,,0,400,2,0,,0
Lao People's Democratic Republic,Western Pacific,219060,3011,,,,671,9,,,
Saint Helena,,2166,35678,,,,0,,,,
Liechtenstein,,21603,55754,1,3,1,89,230,0,,0
Iceland,Europe,210656,57851,21,6,21,186,51,0,,0
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2051455,1246,9,,9,29499,18,0,,0
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,201960,3114,2,,2,4230,65,0,,0
International conveyance (Kiribati),Other,2,,,,,0,,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
South Sudan,Africa,18847,168,3,,3,147,1,0,,0
Slovakia,Europe,1883245,34505,744,14,744,21247,389,5,,5
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Georgia,Europe,1863615,46717,0,,0,17150,430,0,,0
Tajikistan,Europe,17786,186,0,,0,125,1,0,,0
Uzbekistan,Europe,175081,523,0,,0,1016,3,0,,0
Ireland,Europe,1750342,35258,333,7,333,9900,199,3,,3
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Namibia,Africa,172556,6791,,,,4110,162,,,
Ghana,Africa,172210,554,22,,22,1462,5,0,,0
Uganda,Africa,172159,376,0,,0,3632,8,0,,0
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
T�rkiye,Europe,17004728,20162,0,,0,101419,120,0,,0
Tonga,Western Pacific,16992,16076,,,,13,12,,,
Marshall Islands,Western Pacific,16297,27532,,,,17,29,,,
Nicaragua,Americas,16194,244,0,,0,245,4,0,,0
Dominica,Americas,16047,22290,,,,74,103,,,
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Jamaica,Americas,157322,5313,7,,7,3618,122,0,,0
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Central African Republic,Africa,15443,320,0,,0,113,2,0,,0
Norway,Europe,1523402,28382,896,17,896,5732,107,0,,0
Kazakhstan,Europe,1504370,8012,0,,0,19072,102,0,,0
Finland,Europe,1499712,27143,0,,0,11466,208,0,,0
Northern Mariana Islands,Western Pacific,14985,26035,,,,41,71,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
Lithuania,Europe,1398560,50054,1681,60,1681,9847,352,10,,10
Spain,Europe,13980340,29536,0,,0,121852,257,0,,0
Cambodia,Western Pacific,139324,833,,,,3056,18,,,
Slovenia,Europe,1359672,64874,233,11,233,9914,473,0,,0
Croatia,Europe,1347441,33203,1570,39,1570,18774,463,0,,0
Bulgaria,Europe,1337252,19237,636,9,636,38743,557,5,,5
Rwanda,Africa,133266,1029,0,,0,1468,11,0,,0
Morocco,Eastern Mediterranean,1279115,3465,,,,16305,44,,,
Gambia,Africa,12627,522,,,,372,15,,,
Cameroon,Africa,125279,472,10,,10,1974,7,0,,0
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Guatemala,Americas,1250392,6979,0,,0,20203,113,0,,0
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Costa Rica,Americas,1235662,24257,0,,0,9374,184,0,,0
Saint Martin (French part),,12324,31879,,,,46,119,,,
Malta,Europe,123114,23926,12,2,12,925,180,0,,0
Bolivia (Plurinational State of),Americas,1212149,10384,,,,22387,192,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
International conveyance (Vanuatu),Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Australia,Western Pacific,11861161,46515,,,,25236,99,,,
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113662,9832,,,,8530,75,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Niue,Western Pacific,1092,67491,,,,0,,,,
Barbados,Americas,108835,37872,1,,1,593,206,0,,0
Ecuador,Americas,1078766,6114,15,,15,36054,204,0,,0
Angola,Africa,107482,327,0,,0,1937,6,0,,0
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Panama,Americas,1044987,24219,,,,8756,203,,,
Uruguay,Americas,1041640,29986,52,1,52,7684,221,0,,0
United States of America,Americas,103436829,31250,,,,1205461,364,532,,532
Eritrea,Africa,10189,287,,,,103,3,,,
Mongolia,Western Pacific,1011489,30854,,,,2136,65,,,
Argentina,Americas,10105599,22360,551,1,551,130693,289,2,,2
Democratic Republic of the Congo,Africa,100976,113,,,,1474,2,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,0,,0,0,,0,,0
